rank,name,year,certificate,runtime,genre,rating,story,director,cast,gross
"6,062.",All About Steve,(2009),PG-13,99 min,"
Comedy, Romance            ",4.8,"
    Convinced that a CCN cameraman is her true love, an eccentric crossword puzzler trails him as he travels all over the country, hoping to convince him that they belong together.",Phil Traill,"Sandra Bullock, Bradley Cooper, Thomas Haden Church, Ken Jeong",$33.86M
"6,063.",My Soul to Take,(2010),R,107 min,"
Horror, Mystery, Thriller            ",4.8,"
    A serial killer returns to his hometown to stalk seven children who share the same birthday as the date he was allegedly put to rest.",Wes Craven,"Max Thieriot, John Magaro, Denzel Whitaker, Zena Grey",$14.64M
"6,064.",The Spirit,(2008),PG-13,103 min,"
Action, Crime, Fantasy            ",4.8,"
    Rookie cop Denny Colt returns from the beyond as The Spirit, a hero whose mission is to fight against the bad forces in Central City.",Frank Miller,"Gabriel Macht, Samuel L. Jackson, Scarlett Johansson, Jaime King",$19.78M
"6,065.",Primeval,(2007),R,93 min,"
Action, Adventure, Crime            ",4.8,"
    A news team is sent to Burundi to capture and bring home a legendary 25-foot crocodile. Their difficult task turns potentially deadly when a warlord targets them for death.",Michael Katleman,"Dominic Purcell, Orlando Jones, Brooke Langton, Jürgen Prochnow",$10.60M
"6,066.",The Seeker: The Dark Is Rising,(2007),PG,99 min,"
Adventure, Drama, Family            ",4.8,"
    A boy's life is turned upside down when he learns that he is the last of a group of immortal warriors who have dedicated their lives to fighting the forces of the dark.",David L. Cunningham,"Alexander Ludwig, Ian McShane, Christopher Eccleston, Frances Conroy",$8.79M
"6,067.",Pulse,(I) (2006),PG-13,90 min,"
Horror, Sci-Fi            ",4.8,"
    When their computer hacker friend accidentally channels a mysterious wireless signal, a group of co-eds rally to stop a terrifying evil from taking over the world.",Jim Sonzero,"Kristen Bell, Rick Gonzalez, Christina Milian, Ian Somerhalder",$20.26M
"6,068.",Tekken,(2010),R,87 min,"
Action, Crime, Drama            ",4.8,"
    Jin Kazama witnesses the death of his mother Jun by Tekken in the slums known as Anvil. After finding a Tekken ID he decides to seek out vengeance for his mother's death.",Dwight H. Little,"Jonathan Patrick Foo, Kelly Overton, Cary-Hiroyuki Tagawa, Ian Anthony Dale",NaN
"6,069.",Love Wrecked,(2005),PG,87 min,"
Adventure, Comedy, Romance            ",4.8,"
    On a Caribbean cruise, Jenny is marooned on a beach with her rock and roll idol. Deliriously in love with the idea of time alone with him, she manages to hide the fact that they're a stone's throw away from their resort.",Randal Kleiser,"Amanda Bynes, Chris Carmack, Jonathan Bennett, Jamie-Lynn Sigler",$0.48M
"6,070.",Herbie Fully Loaded,(2005),101 min,101 min,"
Adventure, Comedy, Family            ",4.8,"
    Maggie Peyton, the new owner of Herbie, Number 53, the free-wheelin' Volkswagen bug with a mind of its own, puts the car through its paces on the road to becoming a NASCAR competitor.",Angela Robinson,"Lindsay Lohan, Michael Keaton, Cheryl Hines, Breckin Meyer",$66.02M
"6,071.",DOA: Dead or Alive,(2006),PG-13,87 min,"
Action, Adventure, Mystery            ",4.8,"
    The world's best fighters are invited to DOA, an invitational martial arts contest. There, four female rival fighters will have to work together to uncover the secret that the organizer of the tournament is trying to hide.",Corey Yuen,"Jaime Pressly, Devon Aoki, Sarah Carter, Holly Valance",$0.48M
"6,072.",Seed of Chucky,(2004),R,87 min,"
Comedy, Fantasy, Horror            ",4.8,"
    Chucky and Tiffany are resurrected by their innocent gender confused Daughter, Glenda, and hit Hollywood, where a movie depicting the killer dolls' murder spree is underway.",Don Mancini,"Jennifer Tilly, Brad Dourif, John Waters, Billy Boyd",$17.08M
"6,073.",Bewitched,(2005),PG-13,102 min,"
Comedy, Fantasy, Romance            ",4.8,"
    Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic sitcom Bewitched (1964).",Nora Ephron,"Nicole Kidman, Will Ferrell, Shirley MacLaine, Michael Caine",$62.25M
"6,074.",Godsend,(2004),PG-13,102 min,"
Action, Drama, Fantasy            ",4.8,"
    A couple agree to have their deceased son cloned, under the supervision of an enigmatic doctor, but bizarre things start to happen several years after his rebirth.",Nick Hamm,"Robert De Niro, Greg Kinnear, Rebecca Romijn, Cameron Bright",$14.38M
"6,075.","Legally Blonde 2: Red, White & Blonde",(2003),PG-13,95 min,"
Comedy            ",4.8,"
    Elle Woods heads to Washington, D.C. to join the staff of a Representative in order to pass a bill to ban animal testing.",Charles Herman-Wurmfeld,"Reese Witherspoon, Sally Field, Bob Newhart, Regina King",$90.19M
"6,076.",Envy,(2004),PG-13,99 min,"
Comedy            ",4.8,"
    A man becomes increasingly jealous of his friend's newfound success.",Barry Levinson,"Ben Stiller, Jack Black, Rachel Weisz, Amy Poehler",$12.18M
"6,077.",They,(2002),PG-13,89 min,"
Horror, Mystery, Thriller            ",4.8,"
    A psychology student finds all her childhood fears and phobias becoming real after a traumatic event.",Robert Harmon,"Laura Regan, Marc Blucas, Ethan Embry, Dagmara Dominczyk",$12.84M
"6,078.",The Animal,(2001),PG-13,84 min,"
Comedy, Sci-Fi            ",4.8,"
    After receiving organ transplants from various animal donors, a man finds himself taking on the traits of those animals.",Luke Greenfield,"Rob Schneider, Colleen Haskell, John C. McGinley, Edward Asner",$57.74M
"6,079.",Crocodile Dundee in Los Angeles,(2001),PG,92 min,"
Action, Adventure, Comedy            ",4.8,"
    Australian Outback adventurer Mick ""Crocodile"" Dundee travels to Los Angeles with his young son while his longtime companion suspects foul play at a movie studio.",Simon Wincer,"Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks",$25.64M
"6,080.",Lost Souls,(2000),R,97 min,"
Drama, Horror, Thriller            ",4.8,"
    A Catholic teacher meets an atheist journalist, whom a group of Catholics and Priests believes has been chosen by the devil to be the Antichrist.",Janusz Kaminski,"Winona Ryder, Ben Chaplin, Sarah Wynter, Philip Baker Hall",$16.78M
"6,081.",Double Team,(1997),R,93 min,"
Action, Comedy, Sci-Fi            ",4.8,"
    An international spy teams up with an arms dealer to escape from a penal colony and rescue his family from a terrorist.",Hark Tsui,"Jean-Claude Van Damme, Dennis Rodman, Mickey Rourke, Paul Freeman",$11.44M
"6,082.",Anaconda,(1997),A,89 min,"
Action, Adventure, Horror            ",4.8,"
    A ""National Geographic"" film crew is taken hostage by an insane hunter, who forces them along on his quest to capture the world's largest - and deadliest - snake.",Luis Llosa,"Jon Voight, Jennifer Lopez, Eric Stoltz, Ice Cube",$65.89M
"6,083.",Teenage Mutant Ninja Turtles III,(1993),U,96 min,"
Action, Adventure, Comedy            ",4.8,"
    The turtles find themselves transported back in time to ancient Japan.",Stuart Gillard,"Elias Koteas, Paige Turco, Stuart Wilson, Sab Shimono",$42.66M
"6,084.",Leprechaun,(1993),R,92 min,"
Comedy, Fantasy, Horror            ",4.8,"
    An evil, sadistic Leprechaun goes on a killing rampage in search of his beloved pot of gold.",Mark Jones,"Warwick Davis, Jennifer Aniston, Ken Olandt, Mark Holton",$8.56M
"6,085.",Boxing Helena,(1993),R,107 min,"
Drama, Mystery, Romance            ",4.8,"
    A surgeon becomes obsessed with the seductive woman he once was in an affair with. Refusing to accept that she has moved on, he amputates her limbs and holds her captive in his mansion.",Jennifer Lynch,"Julian Sands, Sherilyn Fenn, Bill Paxton, Kurtwood Smith",$1.80M
"6,086.",Friday the 13th: A New Beginning,(1985),92 min,92 min,"
Horror, Mystery, Thriller            ",4.8,"
    Still haunted by his past, Tommy Jarvis - who, as a child, killed Jason Voorhees - wonders if the serial killer is connected to a series of brutal murders occurring in and around the secluded halfway house where he now lives.",Danny Steinmann,"Melanie Kinnaman, John Shepherd, Anthony Barrile, Suzanne Bateman",$21.93M
"6,087.",Capone,(2020),R,103 min,"
Biography, Crime, Drama            ",4.7,"
    The 47-year old Al Capone, after 10 years in prison, starts suffering from dementia and comes to be haunted by his violent past.",Josh Trank,"Tom Hardy, Linda Cardellini, Matt Dillon, Al Sapienza",NaN
"6,088.",You Get Me,(2017),89 min,89 min,"
Crime, Drama, Romance            ",4.7,"
    A one night stand turns into a nightmare for a High School student, when the obsession of a young woman grows dangerous.",Brent Bonacorso,"Bella Thorne, Halston Sage, Taylor John Smith, Nash Grier",NaN
"6,089.",Charlie's Angels,(2019),UA,118 min,"
Action, Adventure, Comedy            ",4.7,"
    When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.",Elizabeth Banks,"Kristen Stewart, Naomi Scott, Ella Balinska, Elizabeth Banks",NaN
"6,090.",The Layover,(I) (2017),R,88 min,"
Comedy, Romance            ",4.7,"
    Two friends on a road trip compete for the affections of a handsome man when their flight is redirected due to a hurricane.",William H. Macy,"Kate Upton, Alexandra Daddario, Matt Barr, Matt Jones",NaN
"6,091.",IO,(2019),96 min,96 min,"
Adventure, Drama, Sci-Fi            ",4.7,"
    As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet.",Jonathan Helpert,"Margaret Qualley, Anthony Mackie, Danny Huston, Tom Payne",NaN
"6,092.",The Boy Next Door,(2015),R,91 min,"
Horror, Thriller            ",4.7,"
    A woman, separated from her unfaithful husband, falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn.",Rob Cohen,"Jennifer Lopez, Ryan Guzman, Kristin Chenoweth, John Corbett",$35.39M
"6,093.",A Haunted House 2,(2014),R,86 min,"
Comedy, Fantasy            ",4.7,"
    Having exorcised the demons of his ex, Malcolm is starting fresh with his new girlfriend and her two children. After moving into their dream home, however, Malcolm is once again plagued by bizarre paranormal events.",Michael Tiddes,"Marlon Wayans, Jaime Pressly, Cedric the Entertainer, Essence Atkins",$17.33M
"6,094.",God's Not Dead,(2014),PG,113 min,"
Drama            ",4.7,"
    College philosophy professor Mr. Radisson's curriculum is challenged by his new student, Josh, who believes God exists.",Harold Cronk,"Shane Harper, Kevin Sorbo, David A.R. White, Dean Cain",$60.76M
"6,095.",Final Girl,(2015),R,90 min,"
Horror, Thriller            ",4.7,"
    A man teaches a young woman how to become a complete weapon. Later she is approached by a group of sadistic teens who kill blonde women for unknown reasons. The hunting season begins.",Tyler Shields,"Abigail Breslin, Wes Bentley, Logan Huffman, Alexander Ludwig",NaN
"6,096.",The ABCs of Death,(2012),129 min,129 min,"
Comedy, Fantasy, Horror            ",4.7,"
    A 26-chapter anthology that showcases death in all its vicious wonder and brutal beauty.",Kaare Andrews,"Angela Bettis, Hélène Cattet, Ernesto Díaz Espinoza, Jason Eisener",$0.02M
"6,097.",Zoolander 2,(2016),U,101 min,"
Action, Adventure, Comedy            ",4.7,"
    Derek and Hansel are lured into modelling again, in Rome, where they find themselves the target of a sinister conspiracy.",Ben Stiller,"Ben Stiller, Owen Wilson, Penélope Cruz, Will Ferrell",$28.85M
"6,098.",ATM,(I) (2012),R,90 min,"
Horror, Thriller            ",4.7,"
    On a late night visit to an ATM, three co-workers end up in a desperate fight for their lives when they become trapped by an unknown man.",David Brooks,"Alice Eve, Josh Peck, Brian Geraghty, Mike O'Brian",$0.00M
"6,099.",Ra.One,(2011),U,156 min,"
Action, Adventure, Sci-Fi            ",4.7,"
    When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.",Anubhav Sinha,"Shah Rukh Khan, Arjun Rampal, Kareena Kapoor, Shahana Goswami",$2.51M
"6,100.",The Twilight Saga: New Moon,(2009),PG-13,130 min,"
Adventure, Drama, Fantasy            ",4.7,"
    Edward leaves Bella after an attack that nearly claimed her life, and, in her depression, she falls into yet another difficult relationship - this time with her close friend, Jacob Black.",Chris Weitz,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Christina Jastrzembska",$296.62M
"6,101.",Jonah Hex,(2010),PG-13,81 min,"
Action, Drama, Fantasy            ",4.7,"
    The U.S. military makes a scarred bounty hunter with warrants on his own head an offer he cannot refuse: in exchange for his freedom, he must stop a terrorist who is ready to unleash Hell on Earth.",Jimmy Hayward,"Josh Brolin, Megan Fox, John Malkovich, Michael Fassbender",$10.54M
"6,102.",The Grudge 3,(2009),R,90 min,"
Horror, Mystery, Thriller            ",4.7,"
    A young Japanese woman who holds the key to stopping the evil spirit of Kayako, travels to the haunted Chicago apartment from the sequel, to stop the curse of Kayako once and for all.",Toby Wilkins,"Matthew Knight, Shawnee Smith, Mike Straub, Aiko Horiuchi",NaN
"6,103.",Hoodwinked Too! Hood vs. Evil,(2011),PG,86 min,"
Animation, Comedy, Crime            ",4.7,"
    Red Riding Hood is training in the group of Sister Hoods, when she and the Wolf are called to examine the sudden mysterious disappearance of Hansel and Gretel.",Mike Disa,"Hayden Panettiere, Glenn Close, Patrick Warburton, Joan Cusack",$10.14M
"6,104.",AVPR: Aliens vs Predator - Requiem,(2007),R,94 min,"
Action, Adventure, Fantasy            ",4.7,"
    Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival.",Colin Strause,"Greg Strause, Reiko Aylesworth, Steven Pasquale, Shareeka Epps",$41.80M
"6,105.",Underdog,(2007),PG,84 min,"
Action, Adventure, Comedy            ",4.7,"
    A Beagle must use his newly-bestowed superpowers to defend Capitol City from mad scientist Simon Barsinister.",Frederik Du Chau,"Peter Dinklage, Jason Lee, Amy Adams, Jim Belushi",$43.75M
"6,106.",The Santa Clause 3: The Escape Clause,(2006),G,97 min,"
Adventure, Comedy, Family            ",4.7,"
    Santa, aka Scott Calvin, is faced with double-duty: how to keep his new family happy, and how to stop Jack Frost from taking over Christmas.",Michael Lembeck,"Tim Allen, Martin Short, Elizabeth Mitchell, Eric Lloyd",$84.50M
"6,107.",The Return,(I) (2006),PG-13,85 min,"
Horror, Mystery, Thriller            ",4.7,"
    Joanna Mills, a traveling business woman, begins having nightmares of a murder that occurred 15 years ago. Soon she is drawn to an old farmhouse, where the murder took place.",Asif Kapadia,"Sarah Michelle Gellar, Sam Shepard, Peter O'Brien, Adam Scott",$7.75M
"6,108.",Big Momma's House 2,(2006),U,99 min,"
Comedy, Crime            ",4.7,"
    An FBI agent reprises his disguise as a corpulent old lady and takes a job as a nanny in a crime suspect's house.",John Whitesell,"Martin Lawrence, Emily Procter, Nia Long, Zachary Levi",$70.17M
"6,109.",The Marine,(2006),PG-13,92 min,"
Action, Comedy, Drama            ",4.7,"
    A group of diamond thieves on the run kidnap the wife of a recently discharged marine who goes on a chase through the South Carolinian wilderness to retrieve her.",John Bonito,"John Cena, Kelly Carlson, Robert Patrick, Anthony Ray Parker",$18.84M
"6,110.",Captivity,(2007),R,96 min,"
Crime, Drama, Horror            ",4.7,"
    A man and a woman awaken to find themselves trapped in a cellar. As their kidnapper drives them mad, the truth about their horrific abduction is revealed.",Roland Joffé,"Elisha Cuthbert, Daniel Gillies, Pruitt Taylor Vince, Michael Harney",$2.63M
"6,111.",Are We There Yet?,(2005),PG,95 min,"
Adventure, Comedy, Family            ",4.7,"
    To impress a foxy divorcee, ladies' man Nick offers to take her kids on an extended road trip, unaware of the torture he's in for.",Brian Levant,"Ice Cube, Nia Long, Aleisha Allen, Philip Bolden",$82.67M
"6,112.",Deuce Bigalow: European Gigolo,(2005),R,83 min,"
Comedy            ",4.7,"
    Deuce is tricked again into man-whoring by T.J., only in Amsterdam while other man-whores are being murdered in his midst.",Mike Bigelow,"Rob Schneider, Eddie Griffin, Jeroen Krabbé, Til Schweiger",$22.26M
"6,113.",Anacondas: The Hunt for the Blood Orchid,(2004),PG-13,97 min,"
Action, Adventure, Horror            ",4.7,"
    A scientific expedition sets out for Borneo to seek a flower called the Blood Orchid, which could grant longer life. Meanwhile, they run afoul of snakes and each other.",Dwight H. Little,"Morris Chestnut, KaDee Strickland, Eugene Byrd, Johnny Messner",$32.24M
"6,114.",Confessions of a Teenage Drama Queen,(2004),PG,89 min,"
Comedy, Family, Music            ",4.7,"
    A teenage girl is convinced that her home city revolves around her until her family packs up and moves to the suburbs, where she finds herself competing for attention.",Sara Sugarman,"Lindsay Lohan, Megan Fox, Adam Garcia, Glenne Headly",$29.33M
"6,115.",Elektra,(2005),UA,97 min,"
Action, Adventure, Crime            ",4.7,"
    Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.",Rob Bowman,"Jennifer Garner, Goran Visnjic, Will Yun Lee, Kirsten Zien",$24.41M
"6,116.",Biker Boyz,(2003),PG-13,110 min,"
Action, Drama            ",4.7,"
    A son of the leader of a legendary group of an urban biker gang tries to retain his championship title.",Reggie Rock Bythewood,"Laurence Fishburne, Derek Luke, Orlando Jones, Djimon Hounsou",$21.70M
"6,117.",Half Past Dead,(2002),PG-13,98 min,"
Action, Crime, Thriller            ",4.7,"
    This movie tells the story of a man who goes undercover in a hi-tech prison to find out information to help prosecute those who killed his wife. While there he stumbles onto a plot involving a death-row inmate and his $200 million stash of gold.",Don Michael Paul,"Morris Chestnut, Steven Seagal, Matt Battaglia, Ja Rule",$15.36M
"6,118.",My Boss's Daughter,(2003),PG-13,86 min,"
Comedy, Romance            ",4.7,"
    After a man is asked to house sit for his boss, he becomes determined to get closer to the boss's daughter, but events keep unfolding that stop him from achieving his goal.",David Zucker,"Ashton Kutcher, Tara Reid, Andy Richter, Molly Shannon",$15.55M
"6,119.",Corky Romano,(2001),PG-13,86 min,"
Comedy, Crime            ",4.7,"
    The loser son of a Mafia honcho must go undercover for the FBI.",Rob Pritts,"Chris Kattan, Peter Falk, Vinessa Shaw, Peter Berg",$23.98M
"6,120.",Dr. Dolittle 2,(2001),PG,87 min,"
Comedy, Family, Fantasy            ",4.7,"
    Dolittle must save a forest and a bear's life.",Steve Carr,"Eddie Murphy, Cedric the Entertainer, Kristen Wilson, Raven-Symoné",$112.95M
"6,121.",Monkeybone,(2001),PG-13,93 min,"
Animation, Comedy, Fantasy            ",4.7,"
    In a coma, a cartoonist finds himself trapped within his own underground creation and must find a way to get back, while racing against his popular but treacherous character, Monkeybone.",Henry Selick,"Brendan Fraser, Bridget Fonda, John Turturro, Chris Kattan",$5.41M
"6,122.",The Next Best Thing,(2000),PG-13,108 min,"
Comedy, Drama, Romance            ",4.7,"
    Abbie, tired of failed relationships, has a one-night-stand with her gay friend; they agree to raise the resulting baby together.",John Schlesinger,"Madonna, Rupert Everett, Benjamin Bratt, Illeana Douglas",$14.99M
"6,123.",The Rage: Carrie 2,(1999),R,104 min,"
Horror, Sci-Fi, Thriller            ",4.7,"
    A horrible massacre strikes up after an outcast teenage girl is taunted by a group of high school jocks, all of them unaware of her cutthroat telekinetic powers.",Katt Shea,"Robert Mandel, Emily Bergl, Jason London, Dylan Bruno",$17.76M
"6,124.",I Still Know What You Did Last Summer,(1998),R,100 min,"
Horror, Mystery            ",4.7,"
    The murderous fisherman with a hook is back to once again stalk the two surviving teens, Julie and Ray, who had left him for dead, as well as cause even more murder and mayhem, this time at a posh island resort.",Danny Cannon,"Jennifer Love Hewitt, Freddie Prinze Jr., Brandy Norwood, Mekhi Phifer",$40.00M
"6,125.",The Crow: City of Angels,(1996),R,84 min,"
Action, Crime, Fantasy            ",4.7,"
    The spirit of the Crow resurrects another man seeking revenge for the murder of his son.",Tim Pope,"Vincent Perez, Mia Kirshner, Richard Brooks, Iggy Pop",$17.88M
"6,126.",Look Who's Talking Too,(1990),81 min,81 min,"
Comedy, Family, Romance            ",4.7,"
    This time, a new baby is on the way, and it's a girl. Wrapped together with the standard conflict between mother and father, Mikey engages in a bit of sibling rivalry with his new sister.",Amy Heckerling,"John Travolta, Kirstie Alley, Olympia Dukakis, Elias Koteas",$47.49M
"6,127.",Poltergeist III,(1988),98 min,98 min,"
Horror, Thriller            ",4.7,"
    Carol Anne is staying with her aunt in a high-rise building, where the supernatural forces haunting her make their return.",Gary Sherman,"Heather O'Rourke, Tom Skerritt, Nancy Allen, Zelda Rubinstein",$14.11M
"6,128.",Police Academy 5: Assignment: Miami Beach,(1988),U,90 min,"
Comedy, Crime            ",4.7,"
    The Police Academy's commandant will be honored at a police convention in Miami Beach. At the airport he picks a wrong bag with stolen diamonds. The ""owners"" want them back.",Alan Myerson,"Bubba Smith, David Graf, Michael Winslow, Leslie Easterbrook",$4.24M
"6,129.",Howard the Duck,(1986),110 min,110 min,"
Action, Adventure, Comedy            ",4.7,"
    A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop a hellish alien invasion with the help of a nerdy scientist and a cute struggling female rock singer who fancies him.",Willard Huyck,"Lea Thompson, Jeffrey Jones, Tim Robbins, Ed Gale",$16.30M
"6,130.",Staying Alive,(1983),93 min,93 min,"
Drama, Music, Romance            ",4.7,"
    Five years later, Tony Manero's Saturday Night Fever is still burning. Now he's strutting toward his biggest challenge yet: succeeding as a dancer on the Broadway stage.",Sylvester Stallone,"John Travolta, Cynthia Rhodes, Finola Hughes, Steve Inwood",$64.89M
"6,131.",Fifty Shades Darker,(2017),R,118 min,"
Drama, Romance            ",4.6,"
    While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford",$114.38M
"6,132.",The Pyramid,(2014),R,89 min,"
Action, Adventure, Horror            ",4.6,"
    An archaeological team attempts to unlock the secrets of a lost pyramid only to find themselves hunted by an insidious creature.",Grégory Levasseur,"Ashley Hinshaw, James Buckley, Denis O'Hare, Christa Nicola",$2.76M
"6,133.",Paranormal Activity: The Ghost Dimension,(2015),R,88 min,"
Horror, Mystery, Thriller            ",4.6,"
    Using a special camera that can see spirits, a family must protect their daughter from an evil entity with a sinister plan.",Gregory Plotkin,"Chris J. Murray, Brit Shaw, Ivy George, Dan Gill",$18.30M
"6,134.",Paranormal Activity 4,(2012),A,88 min,"
Horror, Mystery, Thriller            ",4.6,"
    It has been five years since the disappearance of Katie and Hunter, and a suburban family witness strange events in their neighborhood when a woman and a mysterious child move in.",Henry Joost,"Ariel Schulman, Stephen Dunham, Katie Featherston, Matt Shively",$53.92M
"6,135.",Catch .44,(2011),R,94 min,"
Action, Crime, Drama            ",4.6,"
    3 women are sent to intercept a major drug deal at a diner at 3 AM and get the money. Simple - save for Murphy's law: Anything that can go wrong will go wrong.",Aaron Harvey,"Malin Akerman, Nikki Reed, Deborah Ann Woll, Forest Whitaker",$0.00M
"6,136.",Outcast,(I) (2014),99 min,99 min,"
Action, Adventure, Drama            ",4.6,"
    A mysterious warrior teams up with the daughter and son of a deposed Chinese Emperor to defeat their cruel brother, who seeks their deaths.",Nick Powell,"Nicolas Cage, Hayden Christensen, Alexandre Bailly, Bozhao Wang",NaN
"6,137.",Max Steel,(2016),PG-13,92 min,"
Action, Adventure, Fantasy            ",4.6,"
    The adventures of teenager Max McGrath and his alien companion, Steel, who must harness and combine their tremendous new powers to evolve into the turbo-charged superhero Max Steel.",Stewart Hendler,"Ben Winchell, Josh Brener, Maria Bello, Andy Garcia",$3.82M
"6,138.",Yogi Bear,(2010),PG,81 min,"
Animation, Adventure, Comedy            ",4.6,"
    A documentary filmmaker travels to Jellystone Park to shoot a project and soon crosses paths with Yogi Bear, his sidekick Boo-Boo and Ranger Smith.",Eric Brevig,"Dan Aykroyd, Justin Timberlake, Anna Faris, Tom Cavanagh",$100.25M
"6,139.",The Prince,(I) (2014),UA,93 min,"
Action, Thriller            ",4.6,"
    When his daughter is kidnapped, a retired assassin is drawn back into the life he gave up. To rescue her, he must confront his former rival.",Brian A. Miller,"Jason Patric, Bruce Willis, John Cusack, Jessica Lowndes",NaN
"6,140.",College,(2008),R,94 min,"
Comedy            ",4.6,"
    A wild weekend is in store for three high school seniors who visit a local college campus as prospective freshmen.",Deb Hagan,"Drake Bell, Kevin Covais, Andrew Lewis Caldwell, Andree Moss",$4.69M
"6,141.",Code Name: The Cleaner,(2007),PG-13,84 min,"
Action, Comedy, Crime            ",4.6,"
    An amnesiac wakes up in a hotel room next to a dead FBI agent and $250,000. Is the sexy lady in the lobby his wife? Is he a spy or a cleaner?",Les Mayfield,"Cedric the Entertainer, Lucy Liu, Nicollette Sheridan, Mark Dacascos",$8.10M
"6,142.",Skinwalkers,(2006),R,110 min,"
Action, Fantasy, Horror            ",4.6,"
    A 12 year old boy and his mother become the targets of two warring werewolf packs, each with different intentions and motives.",James Isaac,"Jason Behr, Elias Koteas, Rhona Mitra, Natassia Malthe",$1.02M
"6,143.",Black Christmas,(2006),R,84 min,"
Horror            ",4.6,"
    On Christmas Eve, an escaped maniac returns to his childhood home, which is now a sorority house, and begins to murder the sorority sisters one by one.",Glen Morgan,"Michelle Trachtenberg, Mary Elizabeth Winstead, Lacey Chabert, Katie Cassidy",$16.24M
"6,144.",Agent Cody Banks 2: Destination London,(2004),PG,100 min,"
Action, Adventure, Comedy            ",4.6,"
    With all-new gadgets, high-flying action, exciting chases and a wisecracking new handler, Derek (Anthony Anderson), Cody has to retrieve the device before the world's leaders fall under the evil control of a diabolical villain.",Kevin Allen,"Frankie Muniz, Anthony Anderson, Hannah Spearritt, Cynthia Stevenson",$23.22M
"6,145.",Freddy Got Fingered,(2001),R,87 min,"
Comedy            ",4.6,"
    An unemployed cartoonist moves back in with his parents and younger brother Freddy. When his parents demand he leave, he begins to spread rumors that his father is sexually abusing Freddy.",Tom Green,"Tom Green, Rip Torn, Marisa Coughlan, Eddie Kaye Thomas",$14.25M
"6,146.",Dr. T & the Women,(2000),R,122 min,"
Comedy, Drama, Romance            ",4.6,"
    A wealthy gynecologist's ideal life is thrown into turmoil when the women closest to him begin to affect his life in unexpecting ways.",Robert Altman,"Richard Gere, Helen Hunt, Farrah Fawcett, Laura Dern",$13.11M
"6,147.",Psycho,(1998),R,105 min,"
Horror, Mystery, Thriller            ",4.6,"
    A young female embezzler arrives at the Bates Motel, which has terrible secrets of its own.",Gus Van Sant,"Vince Vaughn, Anne Heche, Julianne Moore, Viggo Mortensen",$21.46M
"6,148.",Highlander: Endgame,(2000),R,87 min,"
Action, Adventure, Fantasy            ",4.6,"
    Immortals Connor and Duncan MacLeod must join forces against Kell, an evil immortal who has become too strong for anyone to face alone.",Douglas Aarniokoski,"Christopher Lambert, Adrian Paul, Bruce Payne, Lisa Barbuscia",$12.80M
"6,149.",Driven,(2001),PG-13,116 min,"
Action, Drama, Sport            ",4.6,"
    A young hot shot driver is in the middle of a championship season and is coming apart at the seams. A former CART champion is called in to give him guidance.",Renny Harlin,"Sylvester Stallone, Kip Pardue, Til Schweiger, Burt Reynolds",$32.62M
"6,150.",The Island of Dr. Moreau,(1996),PG-13,96 min,"
Horror, Sci-Fi, Thriller            ",4.6,"
    After being rescued and brought to an island, a man discovers that its inhabitants are experimental animals being turned into strange-looking humans, all of it the work of a visionary doctor.",John Frankenheimer,"Richard Stanley, David Thewlis, Marlon Brando, Val Kilmer",$27.66M
"6,151.",Vampire in Brooklyn,(1995),R,100 min,"
Comedy, Fantasy, Horror            ",4.6,"
    A ship sails into Brooklyn with all its crew dead. But something gets off and the killing continues on land. The vampire is looking for a specific woman - half-human, half-vampire. Rita's the cop detective investigating the many killings.",Wes Craven,"Eddie Murphy, Angela Bassett, Allen Payne, Kadeem Hardison",$19.75M
"6,152.",On Deadly Ground,(1994),R,101 min,"
Action, Adventure, Thriller            ",4.6,"
    A mystical martial artist/environmental Agent takes on a ruthless oil corporation.",Steven Seagal,"Steven Seagal, Michael Caine, Joan Chen, John C. McGinley",$38.59M
"6,153.",Junior,(1994),U,109 min,"
Comedy, Romance, Sci-Fi            ",4.6,"
    As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.",Ivan Reitman,"Arnold Schwarzenegger, Danny DeVito, Emma Thompson, Frank Langella",$36.76M
